epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,3653.82,0.46183,0.28933,0.00102,0.97479,0.9453,0.97023,0.95957,0.19253,0.17374,0.00224,0.020201,0.00673366,0.020201,0.00673366,0.020201,0.00673366,0.020201,0.00673366
51,3726.49,0.46231,0.29458,0.00103,0.97592,0.94074,0.96829,0.95769,0.19105,0.17037,0.00224,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
52,3799.05,0.46198,0.28873,0.00101,0.97802,0.94032,0.96808,0.95823,0.19023,0.1701,0.00223,0.019801,0.00660034,0.019801,0.00660034,0.019801,0.00660034,0.019801,0.00660034
53,3871.66,0.45779,0.28754,0.00101,0.97919,0.93618,0.96579,0.95667,0.18903,0.17477,0.0022,0.019601,0.00653368,0.019601,0.00653368,0.019601,0.00653368,0.019601,0.00653368
54,3944.39,0.45996,0.28856,0.00102,0.97969,0.93949,0.96774,0.95848,0.18676,0.1659,0.00218,0.0194011,0.00646702,0.0194011,0.00646702,0.0194011,0.00646702,0.0194011,0.00646702
55,4016.96,0.45436,0.28371,0.001,0.98054,0.93991,0.96817,0.95891,0.18752,0.164,0.00217,0.0192011,0.00640036,0.0192011,0.00640036,0.0192011,0.00640036,0.0192011,0.00640036
56,4089.6,0.45507,0.28831,0.001,0.9814,0.94032,0.96814,0.95896,0.18598,0.1672,0.00216,0.0190011,0.0063337,0.0190011,0.0063337,0.0190011,0.0063337,0.0190011,0.0063337
57,4162.51,0.45313,0.28087,0.00101,0.98064,0.94447,0.97037,0.96119,0.1854,0.1673,0.00216,0.0188011,0.00626704,0.0188011,0.00626704,0.0188011,0.00626704,0.0188011,0.00626704
58,4235.2,0.45344,0.286,0.001,0.98145,0.94281,0.96952,0.96049,0.18454,0.16343,0.00214,0.0186011,0.00620038,0.0186011,0.00620038,0.0186011,0.00620038,0.0186011,0.00620038
59,4307.91,0.44511,0.28281,0.00099,0.9823,0.94281,0.96963,0.96044,0.18464,0.16375,0.00214,0.0184012,0.00613372,0.0184012,0.00613372,0.0184012,0.00613372,0.0184012,0.00613372
60,4380.52,0.45213,0.2817,0.001,0.98225,0.94032,0.96847,0.95926,0.18379,0.16813,0.00213,0.0182012,0.00606706,0.0182012,0.00606706,0.0182012,0.00606706,0.0182012,0.00606706
61,4453.23,0.4452,0.2757,0.00098,0.98145,0.94281,0.9696,0.96057,0.18226,0.17233,0.00211,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004
62,4525.97,0.44262,0.27579,0.00099,0.9823,0.94281,0.96964,0.96089,0.18162,0.18123,0.0021,0.0178012,0.00593374,0.0178012,0.00593374,0.0178012,0.00593374,0.0178012,0.00593374
63,4598.72,0.44674,0.27894,0.00099,0.98104,0.94364,0.96992,0.96123,0.18191,0.19598,0.00211,0.0176012,0.00586708,0.0176012,0.00586708,0.0176012,0.00586708,0.0176012,0.00586708
64,4671.49,0.44462,0.27168,0.00097,0.98269,0.94115,0.96897,0.96076,0.18139,0.20056,0.0021,0.0174013,0.00580042,0.0174013,0.00580042,0.0174013,0.00580042,0.0174013,0.00580042
65,4744.1,0.44229,0.27368,0.00096,0.98313,0.94198,0.96936,0.96097,0.18054,0.19925,0.00209,0.0172013,0.00573376,0.0172013,0.00573376,0.0172013,0.00573376,0.0172013,0.00573376
66,4816.84,0.44001,0.27236,0.00097,0.98357,0.94281,0.9698,0.96151,0.17986,0.21187,0.00209,0.0170013,0.0056671,0.0170013,0.0056671,0.0170013,0.0056671,0.0170013,0.0056671
67,4889.63,0.43964,0.2752,0.00096,0.98311,0.94074,0.96885,0.96071,0.17976,0.22308,0.00209,0.0168013,0.00560044,0.0168013,0.00560044,0.0168013,0.00560044,0.0168013,0.00560044
68,4962.41,0.44043,0.27025,0.00097,0.98227,0.94157,0.96921,0.96097,0.17931,0.22788,0.00209,0.0166013,0.00553378,0.0166013,0.00553378,0.0166013,0.00553378,0.0166013,0.00553378
69,5035.22,0.43736,0.27165,0.00097,0.98319,0.9453,0.97099,0.96256,0.17975,0.23908,0.00209,0.0164014,0.00546712,0.0164014,0.00546712,0.0164014,0.00546712,0.0164014,0.00546712
70,5107.93,0.43723,0.26813,0.00096,0.98273,0.94322,0.96999,0.96156,0.17939,0.24791,0.00209,0.0162014,0.00540046,0.0162014,0.00540046,0.0162014,0.00540046,0.0162014,0.00540046
71,5180.62,0.43211,0.26963,0.00095,0.98189,0.94364,0.97016,0.96162,0.17941,0.25616,0.00209,0.0160014,0.0053338,0.0160014,0.0053338,0.0160014,0.0053338,0.0160014,0.0053338
72,5253.31,0.42847,0.26523,0.00095,0.9836,0.94447,0.97063,0.96235,0.17914,0.26799,0.00208,0.0158014,0.00526714,0.0158014,0.00526714,0.0158014,0.00526714,0.0158014,0.00526714
73,5326.12,0.43306,0.26822,0.00095,0.98444,0.94405,0.97043,0.96235,0.17866,0.28939,0.00208,0.0156014,0.00520048,0.0156014,0.00520048,0.0156014,0.00520048,0.0156014,0.00520048
74,5398.89,0.42627,0.26367,0.00093,0.98615,0.94447,0.97056,0.96256,0.17788,0.3083,0.00207,0.0154015,0.00513382,0.0154015,0.00513382,0.0154015,0.00513382,0.0154015,0.00513382
75,5471.73,0.43209,0.26947,0.00095,0.98402,0.94447,0.97052,0.96263,0.17774,0.32825,0.00207,0.0152015,0.00506716,0.0152015,0.00506716,0.0152015,0.00506716,0.0152015,0.00506716
76,5544.46,0.42665,0.26534,0.00093,0.98361,0.9453,0.97111,0.96353,0.17808,0.34159,0.00207,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
77,5617.27,0.42744,0.26727,0.00094,0.98447,0.94571,0.97126,0.96355,0.17794,0.35393,0.00207,0.0148015,0.00493384,0.0148015,0.00493384,0.0148015,0.00493384,0.0148015,0.00493384
78,5690.01,0.42415,0.26835,0.00093,0.98362,0.94571,0.97128,0.96343,0.1782,0.37947,0.00207,0.0146015,0.00486718,0.0146015,0.00486718,0.0146015,0.00486718,0.0146015,0.00486718
79,5762.82,0.41725,0.25973,0.00092,0.98235,0.94571,0.97124,0.9635,0.1778,0.39413,0.00207,0.0144016,0.00480052,0.0144016,0.00480052,0.0144016,0.00480052,0.0144016,0.00480052
80,5835.63,0.4153,0.25678,0.00091,0.98151,0.94613,0.97139,0.96356,0.17644,0.42218,0.00206,0.0142016,0.00473386,0.0142016,0.00473386,0.0142016,0.00473386,0.0142016,0.00473386
81,5908.45,0.41372,0.26091,0.0009,0.98361,0.9453,0.97118,0.96363,0.1762,0.45307,0.00205,0.0140016,0.0046672,0.0140016,0.0046672,0.0140016,0.0046672,0.0140016,0.0046672
82,5981.26,0.41758,0.26027,0.00093,0.98404,0.94571,0.97144,0.96381,0.17554,0.49612,0.00205,0.0138016,0.00460054,0.0138016,0.00460054,0.0138016,0.00460054,0.0138016,0.00460054
83,6054.05,0.41161,0.25349,0.0009,0.98448,0.94613,0.97166,0.96397,0.17496,0.53874,0.00204,0.0136016,0.00453388,0.0136016,0.00453388,0.0136016,0.00453388,0.0136016,0.00453388
84,6126.72,0.40961,0.25522,0.0009,0.98447,0.94571,0.97146,0.96385,0.17445,0.57779,0.00204,0.0134017,0.00446722,0.0134017,0.00446722,0.0134017,0.00446722,0.0134017,0.00446722
85,6199.5,0.41006,0.25433,0.0009,0.9828,0.94695,0.97206,0.96448,0.17375,0.61787,0.00203,0.0132017,0.00440056,0.0132017,0.00440056,0.0132017,0.00440056,0.0132017,0.00440056
86,6272.33,0.40911,0.25306,0.00089,0.98536,0.9482,0.97278,0.96533,0.17336,0.6619,0.00203,0.0130017,0.0043339,0.0130017,0.0043339,0.0130017,0.0043339,0.0130017,0.0043339
87,6345.11,0.40685,0.25416,0.0009,0.98535,0.94778,0.97258,0.96542,0.17284,0.71156,0.00203,0.0128017,0.00426724,0.0128017,0.00426724,0.0128017,0.00426724,0.0128017,0.00426724
88,6417.96,0.40953,0.25566,0.00091,0.98619,0.94737,0.97239,0.96498,0.17285,0.76776,0.00202,0.0126017,0.00420058,0.0126017,0.00420058,0.0126017,0.00420058,0.0126017,0.00420058
89,6490.72,0.40449,0.25012,0.00089,0.98491,0.94695,0.97213,0.96478,0.17305,0.82806,0.00202,0.0124018,0.00413392,0.0124018,0.00413392,0.0124018,0.00413392,0.0124018,0.00413392
90,6563.48,0.39937,0.24646,0.00088,0.98407,0.94695,0.97212,0.96486,0.17276,0.89703,0.00202,0.0122018,0.00406726,0.0122018,0.00406726,0.0122018,0.00406726,0.0122018,0.00406726
91,6636.33,0.39609,0.24709,0.00087,0.98532,0.94571,0.97154,0.96446,0.17274,0.96166,0.00202,0.0120018,0.0040006,0.0120018,0.0040006,0.0120018,0.0040006,0.0120018,0.0040006
92,6709.2,0.39399,0.24502,0.00086,0.98576,0.94654,0.97192,0.96509,0.17195,1.02592,0.00201,0.0118018,0.00393394,0.0118018,0.00393394,0.0118018,0.00393394,0.0118018,0.00393394
93,6782.03,0.39178,0.24398,0.00086,0.98532,0.94571,0.97151,0.9648,0.17157,1.07835,0.002,0.0116018,0.00386728,0.0116018,0.00386728,0.0116018,0.00386728,0.0116018,0.00386728
94,6854.9,0.39096,0.24277,0.00085,0.98404,0.94571,0.97149,0.96475,0.17133,1.13148,0.002,0.0114019,0.00380062,0.0114019,0.00380062,0.0114019,0.00380062,0.0114019,0.00380062
95,6927.65,0.38957,0.24503,0.00085,0.98618,0.94613,0.97182,0.96484,0.17164,1.18715,0.00199,0.0112019,0.00373396,0.0112019,0.00373396,0.0112019,0.00373396,0.0112019,0.00373396
96,7000.46,0.38183,0.23604,0.00084,0.98704,0.94654,0.9721,0.9652,0.17111,1.24074,0.00199,0.0110019,0.0036673,0.0110019,0.0036673,0.0110019,0.0036673,0.0110019,0.0036673
97,7073.25,0.387,0.23555,0.00084,0.9879,0.94778,0.97281,0.966,0.17063,1.27522,0.00199,0.0108019,0.00360064,0.0108019,0.00360064,0.0108019,0.00360064,0.0108019,0.00360064
98,7146.1,0.38322,0.23922,0.00084,0.98749,0.94861,0.97328,0.96618,0.1706,1.29637,0.00198,0.0106019,0.00353398,0.0106019,0.00353398,0.0106019,0.00353398,0.0106019,0.00353398
99,7219,0.38354,0.24634,0.00084,0.98748,0.9482,0.97305,0.96628,0.17069,1.30547,0.00198,0.010402,0.00346732,0.010402,0.00346732,0.010402,0.00346732,0.010402,0.00346732
100,7291.89,0.38243,0.24203,0.00084,0.98704,0.94695,0.9724,0.96569,0.16996,1.30804,0.00197,0.010202,0.00340066,0.010202,0.00340066,0.010202,0.00340066,0.010202,0.00340066
101,7364.68,0.38208,0.23867,0.00084,0.98785,0.94322,0.97061,0.96409,0.16986,1.29789,0.00196,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
102,7437.53,0.37629,0.23811,0.00082,0.9883,0.94488,0.97143,0.96487,0.16966,1.27298,0.00196,0.00980202,0.00326734,0.00980202,0.00326734,0.00980202,0.00326734,0.00980202,0.00326734
103,7510.48,0.37744,0.24721,0.00083,0.98873,0.9453,0.97166,0.96509,0.16989,1.24627,0.00196,0.00960204,0.00320068,0.00960204,0.00320068,0.00960204,0.00320068,0.00960204,0.00320068
104,7583.41,0.37313,0.23928,0.00082,0.98919,0.94778,0.97295,0.96623,0.16987,1.22039,0.00196,0.00940206,0.00313402,0.00940206,0.00313402,0.00940206,0.00313402,0.00940206,0.00313402
105,7656.24,0.3687,0.23519,0.0008,0.98914,0.94405,0.97106,0.96452,0.17001,1.19183,0.00196,0.00920208,0.00306736,0.00920208,0.00306736,0.00920208,0.00306736,0.00920208,0.00306736
106,7729.05,0.36623,0.23623,0.0008,0.99004,0.94778,0.97301,0.9663,0.17034,1.14813,0.00196,0.0090021,0.0030007,0.0090021,0.0030007,0.0090021,0.0030007,0.0090021,0.0030007
107,7801.97,0.36403,0.23342,0.00079,0.99047,0.94778,0.97303,0.96652,0.17,1.09721,0.00195,0.00880212,0.00293404,0.00880212,0.00293404,0.00880212,0.00293404,0.00880212,0.00293404
108,7874.81,0.36503,0.22834,0.0008,0.99134,0.94861,0.9735,0.967,0.1704,1.0429,0.00195,0.00860214,0.00286738,0.00860214,0.00286738,0.00860214,0.00286738,0.00860214,0.00286738
109,7947.71,0.35837,0.22906,0.00078,0.99004,0.94778,0.97303,0.96641,0.17102,0.9798,0.00195,0.00840216,0.00280072,0.00840216,0.00280072,0.00840216,0.00280072,0.00840216,0.00280072
110,8017.87,0.35637,0.22226,0.00078,0.99004,0.94737,0.9728,0.96607,0.1722,0.91266,0.00196,0.00820218,0.00273406,0.00820218,0.00273406,0.00820218,0.00273406,0.00820218,0.00273406
111,8087.61,0.3563,0.22609,0.00077,0.99003,0.94695,0.97257,0.96582,0.17262,0.8363,0.00196,0.0080022,0.0026674,0.0080022,0.0026674,0.0080022,0.0026674,0.0080022,0.0026674
112,8157.4,0.35683,0.2269,0.00078,0.99091,0.9482,0.97334,0.96665,0.17282,0.77217,0.00197,0.00780222,0.00260074,0.00780222,0.00260074,0.00780222,0.00260074,0.00780222,0.00260074
113,8227.12,0.35621,0.22316,0.00078,0.99006,0.94944,0.97404,0.96725,0.1736,0.71236,0.00198,0.00760224,0.00253408,0.00760224,0.00253408,0.00760224,0.00253408,0.00760224,0.00253408
114,8296.77,0.34872,0.21919,0.00077,0.99047,0.94737,0.97288,0.96603,0.17379,0.65757,0.00197,0.00740226,0.00246742,0.00740226,0.00246742,0.00740226,0.00246742,0.00740226,0.00246742
115,8367.01,0.35016,0.21898,0.00076,0.99133,0.9482,0.97339,0.96683,0.17363,0.59983,0.00197,0.00720228,0.00240076,0.00720228,0.00240076,0.00720228,0.00240076,0.00720228,0.00240076
116,8439.9,0.34598,0.22216,0.00076,0.99307,0.95027,0.97461,0.96798,0.17319,0.55144,0.00196,0.0070023,0.0023341,0.0070023,0.0023341,0.0070023,0.0023341,0.0070023,0.0023341
117,8512.7,0.34468,0.21462,0.00075,0.99263,0.94944,0.97417,0.96759,0.17303,0.50797,0.00197,0.00680232,0.00226744,0.00680232,0.00226744,0.00680232,0.00226744,0.00680232,0.00226744
118,8585.58,0.34367,0.21811,0.00075,0.99133,0.94737,0.97291,0.96639,0.17253,0.46264,0.00197,0.00660234,0.00220078,0.00660234,0.00220078,0.00660234,0.00220078,0.00660234,0.00220078
119,8658.39,0.34129,0.21996,0.00074,0.99135,0.95027,0.97448,0.96803,0.17168,0.42082,0.00196,0.00640236,0.00213412,0.00640236,0.00213412,0.00640236,0.00213412,0.00640236,0.00213412
120,8731.44,0.34239,0.21543,0.00075,0.9909,0.94778,0.97315,0.96663,0.17186,0.3876,0.00196,0.00620238,0.00206746,0.00620238,0.00206746,0.00620238,0.00206746,0.00620238,0.00206746
121,8804.3,0.33795,0.21042,0.00074,0.99049,0.94944,0.9741,0.96749,0.17164,0.35831,0.00195,0.0060024,0.0020008,0.0060024,0.0020008,0.0060024,0.0020008,0.0060024,0.0020008
122,8877.16,0.33606,0.21593,0.00073,0.99177,0.94861,0.97367,0.96733,0.17138,0.32023,0.00195,0.00580242,0.00193414,0.00580242,0.00193414,0.00580242,0.00193414,0.00580242,0.00193414
123,8950.1,0.32703,0.21066,0.00071,0.99177,0.94861,0.97367,0.96732,0.17049,0.30375,0.00194,0.00560244,0.00186748,0.00560244,0.00186748,0.00560244,0.00186748,0.00560244,0.00186748
124,9022.94,0.33527,0.21458,0.00074,0.99219,0.9482,0.97347,0.96732,0.17068,0.27383,0.00194,0.00540246,0.00180082,0.00540246,0.00180082,0.00540246,0.00180082,0.00540246,0.00180082
125,9095.71,0.32559,0.21327,0.00071,0.99306,0.94903,0.97395,0.96778,0.17068,0.27167,0.00193,0.00520248,0.00173416,0.00520248,0.00173416,0.00520248,0.00173416,0.00520248,0.00173416
126,9168.64,0.33018,0.2052,0.00072,0.99306,0.9482,0.97344,0.9673,0.16928,0.23829,0.00192,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
127,9241.51,0.32694,0.21045,0.00072,0.99262,0.9482,0.97343,0.96744,0.16928,0.23143,0.00192,0.00480252,0.00160084,0.00480252,0.00160084,0.00480252,0.00160084,0.00480252,0.00160084
128,9314.41,0.32315,0.20513,0.0007,0.99306,0.9482,0.97343,0.9674,0.16898,0.22911,0.00191,0.00460254,0.00153418,0.00460254,0.00153418,0.00460254,0.00153418,0.00460254,0.00153418
